Title,Artist
Your Body Is a Wonderland,John Mayer
Cry Me a River,Justin Timberlake
Headstrong,Trapt
Since U Been Gone,Kelly Clarkson
Sway,Michael BublÃ©
X Gon' Give It To Ya,DMX
I'm with You,Avril Lavigne
Someday,Nickelback
I Know What You Want (feat. Flipmode Squad),Busta Rhymes
I Believe in a Thing Called Love,The Darkness
When I'm Gone,3 Doors Down
The Way You Move (feat. Sleepy Brown),Outkast
Work It,Missy Elliott
Rock Wit U (Awww Baby),Ashanti
Lifestyles of the Rich & Famous,Good Charlotte
P.I.M.P.,50 Cent
Baby Boy (feat. Sean Paul),BeyoncÃ©
Drift Away,Uncle Kracker
Right Thurr,Chingy
Picture (feat. Sheryl Crow),Kid Rock
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams
Into You (feat. Tamia),Fabolous
Fighter,Christina Aguilera
Satisfaction - Isak Original Extended,Benny Benassi
Beautiful,Snoop Dogg
Like Glue,Sean Paul
No Letting Go,Wayne Wonder
Mesmerize,Ja Rule
The Seed (2.0),The Roots
The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana
So Gone,Monica
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee
Mundian To Bach Ke,Panjabi MC
Big Yellow Taxi,Counting Crows
Can't Let You Go (feat. Mike Shorey & Lil' Mo),Fabolous
Make Luv,Room 5
It's My Life,No Doubt
Move Your Feet,Junior Senior
Say Yes,Floetry
Can't Hold Us Down (feat. Lil' Kim),Christina Aguilera
Miss You,Aaliyah
Rise & Fall (feat. Sting),Craig David
In Those Jeans,Ginuwine
Sorry Seems To Be The Hardest Word,Blue
Scandalous - U.S. Radio Edit,Mis-Teeq
Magic Stick,Lil' Kim
Pretty Green Eyes - Radio Edit,Ultrabeat
Stand Up,Ludacris
Sunrise,Simply Red
Holidae In,Chingy
Calling All Angels,Train
Mandy,Westlife
Gossip Folks (feat. Ludacris),Missy Elliott
Damn! (feat. Lil' Jon) - Club Mix,Youngbloodz
Put That Woman First,Jaheim
Miss Independent,Kelly Clarkson
Come Undone,Robbie Williams
Excuse Me Miss,JAY-Z
Wanksta,50 Cent
Danger! High Voltage - Soulchild Radio Mix,Electric Six
Sound Of The Underground,Girls Aloud
All I Have,LL COOL J
Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,Nelly
"Bump, Bump, Bump (feat. P. Diddy)",B2K
Lost Without You,Delta Goodrem
Leave Right Now,Will Young
U Make Me Wanna,Blue
Why Don't You & I (feat. Chad Kroeger),Santana
If You're Not The One,Daniel Bedingfield
White Flag,Dido
Jump,Girls Aloud
Rain On Me,Ashanti
My Love Is Like...Wo,MÃ½a
The Jump Off (feat. Mr. Cheeks) - Remix,Lil' Kim
Stole,Kelly Rowland
Get Low,Lil Jon & The East Side Boyz
Don't Wanna Try,Frankie J
Angel,Amanda Perez
Sweet Dreams My LA Ex - Radio Edit,Rachel Stevens
Year 3000,Busted
Hole In The Head,Sugababes
Shut Up,Black Eyed Peas
Be Faithful,Fatman Scoop
Yeah! (feat. Lil Jon & Ludacris),USHER
This Love,Maroon 5
Toxic,Britney Spears
Hey Ya!,Outkast
The Reason,Hoobastank
Mr. Brightside,The Killers
Numb,Linkin Park
Gasolina,Daddy Yankee
If I Ain't Got You,Alicia Keys
Take Me Out,Franz Ferdinand
American Idiot,Green Day
My Boo,USHER
Drop It Like It's Hot,Snoop Dogg
Are You Gonna Be My Girl,Jet
Here Without You,3 Doors Down
Somewhere Only We Know,Keane
Call on Me - Radio Mix,Eric Prydz
Through The Wire,Kanye West
My Immortal,Evanescence
La Camisa Negra,Juanes
My Band,D12
She Will Be Loved,Maroon 5
Slow Jamz,Twista
Let's Get It Started - Spike Mix,Black Eyed Peas
Roses,Outkast
Jesus Walks,Kanye West
I'm Still in Love with You (feat. Sasha),Sean Paul
Turn Me On,Kevin Lyttle
Confessions Part II,USHER
Live Like You Were Dying,Tim McGraw
Freek-A-Leek,Petey Pablo
In the Shadows,The Rasmus
Just Lose It,Eminem
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans
The Way You Move (feat. Sleepy Brown),Outkast
Goodies (feat. Petey Pablo),Ciara
My Happy Ending,Avril Lavigne
Mad World,Gary Jules
Black Betty - Edit,Spiderbait
Move Ya Body,Nina Sky
Daughters,John Mayer
Locked Up,Akon
Naughty Girl,BeyoncÃ©
Overnight Celebrity,Twista
Leave (Get Out),JoJo
Lola's Theme - Radio Edit,The Shapeshifters
Lean Back,Terror Squad
These Words,Natasha Bedingfield
Everytime,Britney Spears
Vertigo,U2
Breaking the Habit,Linkin Park
Bring Em Out,T.I.
100 Years,Five For Fighting
Slow Motion,JUVENILE
Dirt Off Your Shoulder,JAY-Z
Left Outside Alone,Anastacia
Sunshine (feat. Lea),Lil' Flip
Wanna Get To Know You,G-Unit
Hey Mama,Black Eyed Peas
"Me, Myself and I",BeyoncÃ©
What You Waiting For?,Gwen Stefani
Nobody's Home,Avril Lavigne
Southside,Lloyd
Salt Shaker,Ying Yang Twins
One Call Away,Chingy
It's My Life,No Doubt
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,LMC
Lose My Breath,Destiny's Child
Come With Me - Radio Edit,Special D.
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),Alicia Keys
Fit but You Know It,The Streets
I Like That,Houston
Amazing,George Michael
On Fire,Lloyd Banks
Swing Life Away,Rise Against
My Place,Nelly
Headsprung,LL COOL J
Don't Tell Me,Avril Lavigne
Tipsy - Club Mix,J-Kwon
How Come,D12
Sick and Tired,Anastacia
Read Your Mind,Avant
Only U - No Intro,Ashanti
Dragostea Din Tei,O-Zone
Milkshake - Radio Mix,Kelis
Pieces Of Me,Ashlee Simpson
The Closest Thing to Crazy,Katie Melua
Breathe Me,Sia
Take Your Mama,Scissor Sisters
I Don't Want to Be,Gavin DeGraw
She Wants To Move,N.E.R.D
Five Colours In Her Hair,McFly
Sunshine (feat. Anthony Hamilton),Twista
With You,Jessica Simpson
Love Machine,Girls Aloud
Dip It Low,Christina Milian
Dry Your Eyes,The Streets
Leave Right Now,Will Young
White Flag,Dido
I Believe in You,Kylie Minogue
We Belong Together,Mariah Carey
Let Me Love You,Mario
Gold Digger,Kanye West
Pon de Replay,Rihanna
Mockingbird,Eminem
You're Beautiful,James Blunt
Boulevard of Broken Dreams,Green Day
Don't Cha,The Pussycat Dolls
Bad Day,Daniel Powter
Feel Good Inc.,Gorillaz
Fix You,Coldplay
Hate It Or Love It,The Game
Numb / Encore,JAY-Z
Lonely,Akon
"Sugar, We're Goin Down",Fall Out Boy
Wake Me up When September Ends,Green Day
Just A Lil Bit,50 Cent
The Kill,Thirty Seconds To Mars
Best of You,Foo Fighters
Drop It Like It's Hot,Snoop Dogg
How We Do,The Game
La Tortura (feat. Alejandro Sanz),Shakira
Hung Up,Madonna
You And Me,Lifehouse
I Bet You Look Good On The Dancefloor,Arctic Monkeys
Suddenly I See,KT Tunstall
DARE,Gorillaz
"One, Two Step (feat. Missy Elliott)",Ciara
Disco Inferno,50 Cent
Run It! (feat. Juelz Santana),Chris Brown
Since U Been Gone,Kelly Clarkson
Laffy Taffy,D4L
Speed of Sound,Coldplay
Remember the Name (feat. Styles of Beyond),Fort Minor
Better Together,Jack Johnson
Beverly Hills,Weezer
As Good As I Once Was,Toby Keith
Beautiful Soul,Jesse McCartney
Hollaback Girl,Gwen Stefani
I'm Sprung,T-Pain
Photograph,Nickelback
Axel F,Crazy Frog
Dakota,Stereophonics
Because of You,Kelly Clarkson
Like Toy Soldiers,Eminem
Ghetto Gospel,2Pac
Like You (feat. Ciara),Bow Wow
Lovers And Friends,Lil Jon & The East Side Boyz
My Humps,Black Eyed Peas
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott
Oh (feat. Ludacris),Ciara
"Slow Down - 12"" Version",Bobby V.
Rich Girl,Gwen Stefani
Soul Survivor,Jeezy
I Will Follow You into the Dark,Death Cab for Cutie
Grind With Me,Pretty Ricky
Dirty Little Secret,The All-American Rejects
Incomplete,Backstreet Boys
Signs,Snoop Dogg
Ordinary People,John Legend
Collide,Howie Day
Caught Up,USHER
Galvanize,The Chemical Brothers
Breakaway,Kelly Clarkson
Let Me Hold You (feat. Omarion),Bow Wow
We Be Burnin',Sean Paul
One Wish,Ray J
Scars,Papa Roach
Stickwitu,The Pussycat Dolls
Over And Over,Nelly
You Raise Me Up,Westlife
Home,Michael BublÃ©
Behind These Hazel Eyes,Kelly Clarkson
Diamonds From Sierra Leone - Remix,Kanye West
TRUE,Ryan Cabrera
Just the Girl,The Click Five
Cater 2 U,Destiny's Child
Get Back,Ludacris
Your Body,Pretty Ricky
Nine Million Bicycles,Katie Melua
Tripping,Robbie Williams
Girl,Destiny's Child
In the Morning,The Coral
Lonely No More,Rob Thomas
Don't Forget About Us - Radio Edit,Mariah Carey
Don't Love You No More (I'm Sorry),Craig David
Wait (The Whisper Song),Ying Yang Twins
All About You,McFly
Get Right,Jennifer Lopez
Cool,Gwen Stefani
Outta Control - Remix,50 Cent
"Baby, I'm Back",Baby Bash
Sometimes You Can't Make It On Your Own,U2
Bananza (Belly Dancer),Akon
Don't Phunk With My Heart,Black Eyed Peas
Ass Like That,Eminem
I Like The Way - Radio Edit,Bodyrockers
It's Like That,Mariah Carey
Some Cut,Trillville
Let Me Go,3 Doors Down
Hips Don't Lie (feat. Wyclef Jean),Shakira
Temperature,Sean Paul
Promiscuous,Nelly Furtado
SexyBack (feat. Timbaland),Justin Timberlake
Irreplaceable,BeyoncÃ©
Chasing Cars,Snow Patrol
Crazy,Gnarls Barkley
Love,Keyshia Cole
How to Save a Life,The Fray
Put Your Records On,Corinne Bailey Rae
So Sick,Ne-Yo
Maneater,Nelly Furtado
Unwritten,Natasha Bedingfield
Supermassive Black Hole,Muse
Dani California,Red Hot Chili Peppers
When You Were Young,The Killers
"Dance, Dance",Fall Out Boy
Me & U,Cassie
Who Knew,P!nk
Life is a Highway,Rascal Flatts
Waiting On the World to Change,John Mayer
Shake That,Eminem
My Love (feat. T.I.),Justin Timberlake
When The Sun Goes Down,Arctic Monkeys
Rehab,Amy Winehouse
Far Away,Nickelback
Touch The Sky,Kanye West
I Write Sins Not Tragedies,Panic! At The Disco
Yo (Excuse Me Miss),Chris Brown
Laffy Taffy,D4L
Everytime We Touch,Cascada
Too Little Too Late,JoJo
Unfaithful,Rihanna
Savin' Me,Nickelback
Over My Head (Cable Car),The Fray
Goodbye My Lover,James Blunt
Sexy Love,Ne-Yo
What Hurts The Most,Rascal Flatts
Rock This Party - Everybody Dance Now,Bob Sinclar
Ridin',Chamillionaire
Pump It,Black Eyed Peas
Call Me When You're Sober,Evanescence
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.
Snap Yo Fingers,Lil Jon
Last Request,Paolo Nutini
Be Without You - Kendu Mix,Mary J. Blige
I'm N Luv (Wit a Stripper) (feat. Mike Jones),T-Pain
It's Goin' Down (feat. Nitti),Yung Joc
Love Generation - Radio Edit,Bob Sinclar
Gimme That,Chris Brown
Deja Vu (feat. Jay-Z),BeyoncÃ©
Dirty Little Secret,The All-American Rejects
One,Mary J. Blige
Black Horse And The Cherry Tree,KT Tunstall
Buttons,The Pussycat Dolls
London Bridge,Fergie
Do It To It,Cherish
What You Know,T.I.
My My My,Armand Van Helden
Ain't No Other Man,Christina Aguilera
Tears Dry On Their Own,Amy Winehouse
Naive,The Kooks
When I'm Gone,Eminem
Smile,Lily Allen
Chelsea Dagger,The Fratellis
Pullin' Me Back,Chingy
Stickwitu,The Pussycat Dolls
U and Dat (feat. T. Pain & Kandi Girl),E-40
Ms. New Booty,Bubba Sparxxx
Get Up (feat. Chamillionaire),Ciara
Sorry,Madonna
Move Along,The All-American Rejects
"Lean Wit It, Rock Wit It",Dem Franchize Boyz
Is It Any Wonder?,Keane
Money Maker,Ludacris
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom
Check On It (feat. Bun B & Slim Thug),BeyoncÃ©
Touch It,Busta Rhymes
Stupid Girls,P!nk
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor
From Paris to Berlin,Infernal
I Don't Feel Like Dancin',Scissor Sisters
No Promises,Shayne Ward
She Moves In Her Own Way,The Kooks
It Ends Tonight,The All-American Rejects
Chain Hang Low,Jibbs
"Steady, As She Goes",The Raconteurs
A Moment Like This,Leona Lewis
Grillz,Nelly
The Rose,Westlife
Come to Me (feat. Nicole Scherzinger),Diddy
You Give Me Something,James Morrison
Fill My Little World,The Feeling
Beep,The Pussycat Dolls
Bossy Featuring Too $hort (feat. Too $hort),Kelis
What's Left Of Me,Nick Lachey
You're All I Have,Snow Patrol
America,Razorlight
Control Myself,LL COOL J
Patience,Take That
Bleeding Love,Leona Lewis
Umbrella,Rihanna
Smack That,Akon
Big Girls Don't Cry (Personal),Fergie
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson
Hey There Delilah,Plain White T's
What Goes Around.../...Comes Around (Interlude),Justin Timberlake
The Sweet Escape,Gwen Stefani
Stronger,Kanye West
The Way I Are,Timbaland
Chasing Cars,Snow Patrol
What I've Done,Linkin Park
Say It Right,Nelly Furtado
Gimme More,Britney Spears
Before He Cheats,Carrie Underwood
How to Save a Life,The Fray
Back To Black,Amy Winehouse
Can't Tell Me Nothing,Kanye West
The Pretender,Foo Fighters
Thnks fr th Mmrs,Fall Out Boy
Snow (Hey Oh),Red Hot Chili Peppers
Bleed It Out,Linkin Park
Give It To Me,Timbaland
Face Down,The Red Jumpsuit Apparatus
"Dear Maria, Count Me In",All Time Low
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain
Misery Business,Paramore
Crank That (Soulja Boy),Soulja Boy
Destination Calabria - Radio Edit,Alex Gaudino
Girlfriend,Avril Lavigne
Fake It,Seether
Paralyzer,Finger Eleven
Because Of You,Ne-Yo
My Love (feat. T.I.),Justin Timberlake
Don't Matter,Akon
Beautiful Liar,BeyoncÃ©
Rehab,Amy Winehouse
Bartender (feat. Akon),T-Pain
You,Lloyd
Kiss Kiss (feat. T-Pain),Chris Brown
Glamorous,Fergie
"This Ain't A Scene, It's An Arms Race",Fall Out Boy
I Wanna Love You,Akon
Hate That I Love You,Rihanna
Everything,Michael BublÃ©
1973,James Blunt
Rockstar,Nickelback
Cry for You,September
Summer Love,Justin Timberlake
Fergalicious,Fergie
When You're Gone,Avril Lavigne
Bubbly,Colbie Caillat
Let Me Think About It,Ida Corr
Shut Up And Drive,Rihanna
New Shoes,Paolo Nutini
U + Ur Hand,P!nk
Candyman,Christina Aguilera
Let It Go,Keyshia Cole
Golden Skans,Klaxons
Like a Boy,Ciara
Bed,J. Holiday
She's So Lovely,Scouting For Girls
Lost Without U,Robin Thicke
Keep Holding On,Avril Lavigne
Tears Dry On Their Own,Amy Winehouse
Shawty (feat. T Pain),Plies
The Great Escape,BOYS LIKE GIRLS
Promise,Ciara
Make It Rain,Fat Joe
Brianstorm,Arctic Monkeys
Grace Kelly,MIKA
Ruby,Kaiser Chiefs
Shortie Like Mine (feat. Chris Brown & JohntÃ¡ Austin),Bow Wow
I Tried,Bone Thugs-N-Harmony
On the Hotline - Amended Version,Pretty Ricky
Wait for You,Elliott Yamin
Ice Box,Omarion
This Is Why I'm Hot,MiMS
Heartbroken - Edit,T2
The Way I Live,Baby Boy Da Prince
Here (In Your Arms),Hellogoodbye
Ayo Technology,50 Cent
Last Night,Keyshia Cole
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",Wyclef Jean
Makes Me Wonder,Maroon 5
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes
LoveStoned / I Think She Knows (Interlude),Justin Timberlake
Acceptable in the 80's,Calvin Harris
Outta My System (feat. T-Pain & JohntÃ¡ Austin),Bow Wow
"Pop, Lock & Drop It - Video Edit",Huey
Proper Education - Radio Edit,Eric Prydz
We Fly High,Jim Jones
Home,Westlife
Runaway Love,Ludacris
Walk It Out,Unk
Your Love Alone Is Not Enough (feat. Nina Persson),Manic Street Preachers
Do You Know? (The Ping Pong Song),Enrique Iglesias
Love Today,MIKA
Home,Daughtry
Stop Me (feat. Daniel Merriweather),Mark Ronson
Low (feat. T-Pain),Flo Rida
I Kissed A Girl,Katy Perry
Take A Bow,Rihanna
No One,Alicia Keys
Apologize,Timbaland
Miss Independent,Ne-Yo
With You,Chris Brown
If I Were a Boy,BeyoncÃ©
Viva La Vida,Coldplay
Flashing Lights,Kanye West
Sex on Fire,Kings of Leon
"You're Gonna Go Far, Kid",The Offspring
Don't Stop The Music,Rihanna
Paper Planes,M.I.A.
American Boy,Estelle
Kids,MGMT
Homecoming,Kanye West
So What,P!nk
Use Somebody,Kings of Leon
Forever,Chris Brown
Womanizer,Britney Spears
Disturbia,Rihanna
Right Now (Na Na Na),Akon
Crank That (Soulja Boy),Soulja Boy
Good Life,Kanye West
Human,The Killers
Paralyzer,Finger Eleven
Infinity 2008 - Klaas Vocal Edit,Guru Josh Project
Touch My Body,Mariah Carey
Ain't No Rest for the Wicked,Cage The Elephant
Live Your Life,T.I.
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna
All Summer Long,Kid Rock
Dangerous,Kardinal Offishall
Love Song,Sara Bareilles
